sample_name	region	bin_num	C_number	T_number	Methylation_level
D63-5	Downstream	80	687956	504449	0.576948268415513
D63-5	Upstream	-1	538644	744052	0.419931145025789
D63-5	Upstream	-10	645301	590153	0.522318920817772
D63-5	Upstream	-11	642844	574248	0.528180285467327
D63-5	Upstream	-12	673550	567826	0.542583391333488
D63-5	Upstream	-13	675237	555158	0.548796931066853
D63-5	Upstream	-14	678465	540218	0.556719836085348
D63-5	Upstream	-15	685750	529351	0.564356378605564
D63-5	Upstream	-16	690686	528107	0.56669672372585
D63-5	Upstream	-17	694547	515270	0.574092610700627
D63-5	Upstream	-18	692838	518142	0.572130010404796
D63-5	Upstream	-19	693574	525424	0.56897058075567
D63-5	Upstream	-2	529509	730837	0.420129869099438
D63-5	Upstream	-3	533200	732028	0.421426019658117
D63-5	Upstream	-4	546512	693242	0.440822937453721
D63-5	Upstream	-5	564263	677742	0.454316206456496
D63-5	Upstream	-6	597097	665276	0.472995699369362
D63-5	Upstream	-7	604803	639340	0.486120164643453
D63-5	Upstream	-8	627044	626591	0.500180674598268
D63-5	Upstream	-9	625474	598978	0.510819533962948
D63-5	Upstream	0	591065	708371	0.45486272505918
D63-6	Body	1	5323988	4345942	0.550571513961321
D63-6	Body	10	5135531	2750702	0.651202037779
D63-6	Body	11	5195188	2732005	0.655362875610572
D63-6	Body	12	5168279	2646267	0.66136650804794
D63-6	Body	13	5089548	2683865	0.65473788669147
D63-6	Body	14	5182994	2660172	0.660829313060568
D63-6	Body	15	5205977	2738781	0.655271941574558
D63-6	Body	16	5205284	2658910	0.661896692782503
D63-6	Body	17	5169835	2646629	0.661403289262255
D63-6	Body	18	5157953	2630228	0.662279548972989
D63-6	Body	19	5207841	2634844	0.664038017592189
D63-6	Body	2	5449069	3482646	0.610080930705917
D63-6	Body	20	5140203	2619902	0.662388331085726
D63-6	Body	21	5231955	2649274	0.663850143169295
D63-6	Body	22	5221181	2636689	0.664452453400222
D63-6	Body	23	5147556	2645363	0.660542731164022
D63-6	Body	24	5183757	2622407	0.664059453529288
D63-6	Body	25	5249079	2632107	0.666026534585023
D63-6	Body	26	5268755	2616229	0.668201102247005
D63-6	Body	27	5115458	2608152	0.662314384076876
D63-6	Body	28	5123464	2534072	0.669074751982883
D63-6	Body	29	5186928	2631025	0.663463696954945
D63-6	Body	3	5328339	3191995	0.625367385832527
D63-6	Body	30	5173251	2623763	0.663491305774236
D63-6	Body	31	5190410	2664989	0.660744285554432
D63-6	Body	32	5249041	2651872	0.664358789927189
D63-6	Body	33	5132389	2625420	0.661577128284545
D63-6	Body	34	5191026	2657802	0.661375940458881
D63-6	Body	35	5192582	2572817	0.668681931218216
D63-6	Body	36	5165299	2588398	0.666172407820424
D63-6	Body	37	5109758	2617197	0.661289990688441
D63-6	Body	38	5162952	2629283	0.662576526503628
D63-6	Body	39	5197190	2621774	0.664690360513234
D63-6	Body	4	5258222	3008697	0.636055826844318
D63-6	Body	40	5179419	2627682	0.66342410582366
D63-6	Body	41	5218957	2650950	0.663153579832646
D63-6	Body	42	5177531	2637659	0.662495857426371
D63-6	Body	43	5179149	2681201	0.658895469031277
D63-6	Body	44	5119797	2690070	0.655554953752734
D63-6	Body	45	5218544	2678548	0.660818437976916
D63-6	Body	46	5158735	2686671	0.6575485067312
D63-6	Body	47	5128736	2737433	0.651999213340064
D63-6	Body	48	5224123	2715713	0.657963590179948
D63-6	Body	49	5140861	2746243	0.651805910001947
D63-6	Body	5	5173005	2991840	0.633570508686938
D63-6	Body	50	5138975	2738312	0.652378794882045
D63-6	Body	51	5181378	2773358	0.651357631478908
D63-6	Body	52	5352832	2796598	0.656835140617197
D63-6	Body	53	5194940	2797064	0.650017192183587
D63-6	Body	54	5209370	2807006	0.649841025420963
D63-6	Body	55	5198840	2849457	0.645955287186842
D63-6	Body	56	5233279	2906324	0.64294032522225
D63-6	Body	57	5362587	3003761	0.640971066467711
D63-6	Body	58	5369360	3099966	0.633977249193147
D63-6	Body	59	5513691	3502356	0.611541954029299
D63-6	Body	6	5258756	2917340	0.643186674911841
D63-6	Body	60	5396280	4262716	0.558679183633578
D63-6	Body	7	5227174	2872846	0.645328530053012
D63-6	Body	8	5177978	2812712	0.648001361584544
D63-6	Body	9	5134579	2703384	0.65509099749514
D63-6	Downstream	61	577857	599749	0.490704870729259
D63-6	Downstream	62	515427	616125	0.455504475269365
D63-6	Downstream	63	491060	605953	0.447633710812907
D63-6	Downstream	64	487231	619856	0.440101816749722
D63-6	Downstream	65	510144	599511	0.459732078889385
D63-6	Downstream	66	517304	602452	0.461979216900825
D63-6	Downstream	67	544961	577871	0.48534509169671
D63-6	Downstream	68	556159	556093	0.500029669535321
D63-6	Downstream	69	591052	526857	0.528712086583076
D63-6	Downstream	70	597350	523763	0.532818725677073
D63-6	Downstream	71	590931	498127	0.542607464432565
D63-6	Downstream	72	619393	488911	0.558865618097562
D63-6	Downstream	73	630753	477636	0.569071869172285
D63-6	Downstream	74	626268	469706	0.571425964484559
D63-6	Downstream	75	625802	457410	0.577728090161483
D63-6	Downstream	76	635777	448393	0.586418181650479
D63-6	Downstream	77	626791	450512	0.581814958280075
D63-6	Downstream	78	639105	444510	0.589789731592863
D63-6	Downstream	79	658155	452632	0.592512335848367
D63-6	Downstream	80	644619	446059	0.591025948996862
D63-6	Upstream	-1	501149	588923	0.459739356666349
D63-6	Upstream	-10	609445	499064	0.549788048631089
D63-6	Upstream	-11	596244	485336	0.551271288300449
D63-6	Upstream	-12	619676	470512	0.56841205370083
D63-6	Upstream	-13	626344	470420	0.571083660659905
D63-6	Upstream	-14	638285	459574	0.58139068860391
D63-6	Upstream	-15	640228	456009	0.584023345316752
D63-6	Upstream	-16	638737	470657	0.575753068792512
D63-6	Upstream	-17	641912	452662	0.586449157389085
D63-6	Upstream	-18	639315	460587	0.581247238390329
D63-6	Upstream	-19	646798	458136	0.585372519987619
D63-6	Upstream	-2	496162	604963	0.450595527301623
D63-6	Upstream	-3	502776	610016	0.45181489442771
D63-6	Upstream	-4	515736	579343	0.470957803044347
D63-6	Upstream	-5	530511	560053	0.486455632131631
D63-6	Upstream	-6	555228	558240	0.498647468988781
D63-6	Upstream	-7	563050	535964	0.512322863948958
D63-6	Upstream	-8	592052	526653	0.529229779074913
D63-6	Upstream	-9	592743	514397	0.535382155824918
D63-6	Upstream	0	554533	576162	0.490435528590822
D63-8	Body	1	4911756	3773360	0.565537178778038
D63-8	Body	10	4761919	2567011	0.649742731885828
D63-8	Body	11	4809043	2557038	0.652863171067492
D63-8	Body	12	4806659	2494192	0.658369688684237
D63-8	Body	13	4759895	2515341	0.654259875555927
D63-8	Body	14	4802256	2507165	0.656995403603103
D63-8	Body	15	4840609	2582831	0.652070872802905
D63-8	Body	16	4843426	2492719	0.660214049749562
D63-8	Body	17	4773180	2480399	0.65804480794929
D63-8	Body	18	4790117	2461604	0.660548992439174
D63-8	Body	19	4797386	2467607	0.660342824831352
D63-8	Body	2	5081572	3171113	0.615747723316714
D63-8	Body	20	4738061	2466865	0.657614110124101
D63-8	Body	21	4855529	2478571	0.662048376760611
D63-8	Body	22	4833421	2460585	0.662656570340085
D63-8	Body	23	4728985	2427865	0.660763464373293
D63-8	Body	24	4799197	2441683	0.66279195346422
D63-8	Body	25	4847911	2457938	0.663565726584275
D63-8	Body	26	4906148	2444248	0.667467167755315
D63-8	Body	27	4766137	2456716	0.6598690295926
D63-8	Body	28	4765702	2368431	0.66801417915814
D63-8	Body	29	4816364	2441480	0.663608090777371
D63-8	Body	3	4952862	2934082	0.627982397237764
D63-8	Body	30	4789643	2455288	0.661102638520643
D63-8	Body	31	4820617	2494006	0.659038340048421
D63-8	Body	32	4851066	2465625	0.663013649202898
D63-8	Body	33	4776217	2468513	0.659267771193682
